Abel;5;8
Abella;5;8
Abraham;20;12
Achille;12;5
Ada;4;12
Adelaide;16;12
Adele;24;12
Adeline;20;10
Adelphe;11;9
Adnette;4;12
Adolphe;30;6
Adrien;8;9
Adrienne;8;9
Agathe;5;2
Aglaee;1;11
Agnes;21;1
Aimable;18;10
Aime;13;9
Aimee;20;2
Alain;9;9
Alban;22;6
Albane;22;6
Albe;22;6
Alberic;15;11
Albert;15;11
Alberta;15;11
Alberte;15;11
Albin;1;3
Alda;26;4
Aldo;99;99
Alethe;4;4
Alette;4;4
Alex;22;4
Alexandra;22;4
Alexandre;22;4
Alexane;17;2
Alexia;9;1
Alexis;17;2
Alfred;15;8
Alice;16;12
Alida;26;4
Alienor;25;6
Aline;20;10
Alix;9;1
Alizee;16;12
Allison;99;99
Alois;21;6
Alphonse;1;8
Amael;24;5
Amalric;99;99
Amand;6;2
Amanda;9;07?
Amandine;9;7
Amaury;15;1
Ambroise;7;12
Ame;13;9
Amedee;30;3
Amelie;19;9
Amos;31;3
Amour;9;8
Anais;26;7
Anastasie;10;3
Anatole;3;7
Andoche;24;9
Andre;30;11
Andree;30;11
Andrea;30;11
Ange;5;5
Angele;27;1
Angeline;27;1
Angelique;27;1
Anicet;17;4
Anna;26;7
Annabelle;26;7
Anne;26;7
Annette;99;99
Annaelle;26;7
Anneliese;99;99
Annick;26;7
Annie;26;7
Annonciade;25;3
Anouchka;26;7
Anouck;26;7
Anselme;21;4
Anthelme;26;6
Anthony;17;1
Antoine;5;7
Antoine (ab.);99;99
Antoine (de Padoue;13;6
Antoinette;28;2
Antonin;2;5
Antony;17;1
Apollinaire;12;9
Apolline;9;2
Apollos;25;1
Aquiline;99;99
Arcadius;1;8
Arcady;1;8
Archibald;1;11
Ariane;18;9
Aricie;99;99
Arielle;1;10
Aristide;31;8
Arlette;17;7
Armance;8;6
Armand;8;6
Armande;8;6
Armel;16;8
Armela;16;8
Armelle;16;8
Armistice;14;7
Arnaud;10;2
Arnold;14;8
Arnould;18;7
Arsene;19;7
Arthur;15;11
Ashley;99;99
Astrid;27;11
Athanase;2;5
Aubert;10;9
Aubierge;7;7
Aubin;1;3
Aude;18;11
Audrey;23;6
Augusta;24;11
Auguste;29;2
Augustin;28;8
Augustine;28;8
Aure;4;10
Aurele;15;10
Aurelie;15;10
Aurelien;16;6
Auriane;4;10
Aurianne;4;10
Aurore;13;12
Avit;5;2
Axel;21;3
Axelle;21;3
Aymar;29;5
Aymeric;4;11
Babette;17;11
Babine;31;3
Baptiste;24;6
Barbara;4;12
Barbe;4;12
Barberine;4;12
Barnabe;11;6
Barnard;23;1
Barthelemy;24;8
Bartolome;24;8
Basile;2;1
Bastien;20;1
Bathylle;30;1
Baudouin;17;10
Beatrice;13;2
Benedicte;16;3
Benjamin;31;3
